incident_id,crime_type,district,city,state,address,latitude,longitude,incident_datetime,officer_id,officer_first_name,officer_last_name,badge_number,suspect_id,suspect_first_name,suspect_last_name,suspect_age,suspect_gender,suspect_race,victim_id,victim_first_name,victim_last_name,victim_age,victim_gender,victim_phone,weapon_used,severity,case_status,resolution,num_arrests,property_loss_usd,reported_online,notes,day_of_week
INC001115,assault,south,Maplewood,GA,2830 Cedar Lane,170.2841,-77.50071,2024-04-16 08:45:03,OFF0078,Emily,Davis,1342.0,SUS00281,Barbara,Thomas,51.0,male,asian,VIC00642,Robert,Torres,51.0,unknown,6223265920,Firearm,medium,Open,No Arrest,,,yes,Incident at 2830 Cedar Lane. Officer responded at scene.,Tuesday
INC004706,burglary,southeast,Maplewood,OH,2361 Park Rd,29.422717,-77.167016,2022-01-11 22:03:29,OFF0059,Michelle,Green,5133.0,SUS00376,Barbara,Harris,,other,Black,VIC00262,John,Martin,,unknown,241-973-4826,Firearm,high,unknown,unknown,2.0,44839.49,yes,Incident at 2361 Park Rd. Officer responded at scene.,Tuesday
INC002249,homicide,southwest,Lakewood,AZ,1067 Main St,39.41146,-98.615298,2022-04-14 11:39:24,OFF0088,Michael,White,7781.0,SUS00560,Richard,Scott,19.0,female,asian,VIC00518,Richard,Hill,29.0,other,244-584-7696,KNIFE,low,CLOSED,warning,2.0,15963.38,yes,Incident at 1067 Main St. Officer responded at scene.,Thursday
INC000021,vandalism,central,Springfield,AZ,4713 Washington Ave,28.633439,-99.030051,2020-12-09 15:14:24,OFF0077,Chris,Jackson,5097.0,SUS00468,Michael,Thomas,,male,Black,VIC00243,Susan,Young,,unknown,5021227484,hands,low,Resolved,unknown,5.0,48680.14,no,Incident at 4713 Washington Ave. Officer responded at scene.,Wednesday
INC000488,domestic violence,north,Lakewood,PA,1371 River Rd,34.21785,-121.614731,2021-07-24 20:08:13,OFF0083,Susan,Flores,6220.0,SUS00751,Thomas,Jackson,75.0,female,white,VIC00512,Thomas,Thomas,51.0,male,9698766873,Unarmed,medium,Closed,Warning Issued,2.0,23513.01,yes,,Saturday
INC000661,burglary,east,Hillcrest,CA,3551 Elm Blvd,44.438603,-101.775119,2020-05-03 00:00:00,OFF0089,Jennifer,Green,7082.0,SUS00454,James,Lee,73.0,unknown,White,VIC00473,Anthony,Wilson,15.0,unknown,590-332-6488,Blunt Object,high,under investigation,arrest made,1.0,,yes,Incident at 3551 Elm Blvd. Officer responded at scene.,Sunday
INC001727,robbery,southeast,Maplewood,TX,7394 Cedar Lane,38.525825,-90.100219,2021-10-03 05:17:02,OFF0141,Jennifer,Harris,7747.0,SUS00623,Carol,Harris,58.0,female,Unknown,VIC00429,Mary,Walker,72.0,female,431-579-6170,Blunt Object,unknown,CLOSED,warning,3.0,,yes,Incident at 7394 Cedar Lane. Officer responded at scene.,Sunday
INC003981,homicide,midtown,Centerville,IL,1610 River Rd,46.854678,-99.512808,2023-09-30 14:49:01,OFF0008,Karen,Hall,7869.0,SUS00533,Jennifer,Taylor,73.0,male,White,VIC00904,David,Torres,,female,587-505-1798,unknown,low,open,No Arrest,2.0,19075.36,no,Incident at 1610 River Rd. Officer responded at scene.,Saturday
INC001205,burglary,east,Centerville,OH,378 Oak Ave,38.869063,-114.385749,2021-01-22 02:37:24,OFF0034,Daniel,Jackson,8229.0,SUS00320,Robert,Hill,26.0,male,Hispanic,VIC00093,Mary,Lee,55.0,other,3956212676,hands,critical,under investigation,warning,0.0,34452.47,yes,Incident at 378 Oak Ave. Officer responded at scene.,Friday
INC000972,homicide,northeast,Riverside,IL,8974 Park Rd,42.018768,-72.384742,2021-03-29 04:16:18,OFF0093,Mary,Thompson,7242.0,,,,,unknown,unknown,VIC00859,Michelle,Hill,10.0,unknown,376-440-3132,Rifle,medium,Investgation,unknown,5.0,35339.52,unknown,,Monday
